Don't reuse Writable objects in HadoopRDDs by default,
MLlib ALS gets stack overflow with too many iterations,The simple test error
Update all unit tests to use SparkConf instead of system properties,Clean up uses of System.setProperty in unit tests
Have DEVELOPERS.txt file with documentation for developers,Improve Developer Documentation
MultilogisticRegressionWithSGD,Generalize the binary logistic regression into multinomial logistic regression
SparkListener interfaces should not expose internal types/objects,Persisting Web UI through refactoring the SparkListener interface
Clustering: Index out of bounds error,Check for the number of clusters to avoid ArrayIndexOutOfBoundsException
ExternalAppendOnlyMap Iterator throw no such element on joining two large rdd,External Spilling Bug - hash collision causes NoSuchElementException
Ability to disable the spark ui server (unit tests),Alleviate port collisions during tests
Ability to disable the spark ui server (unit tests),Allow users to disable Jetty Spark UI in local mode
Default log4j initialization causes errors for those not using log4j,Do not initialize log4j if slf4j log4j backend is not being used
Tidy logging strategy and use of log4j,Send all dependency logging through slf4j
Some corner case during HA master switching?,Support HA in standalone cluster mode
Ensure all public methods return explicit types,Add to style checker "public method must have explicit type defined"
ConcurrentModificationException,ConcurrentModificationException in hadoop_common exposed by Spark
Add saveAsHBase to PairRDDFunctions,Add common solution for sending upsert actions to HBase (put; deletes; and increment)
Parallelize Task Serialization,
Suggestions for exception handling (avoid potential bugs),
ArrayStoreException on mapping RDD on cluster,Prevent ContextClassLoader of Actor from becoming ClassLoader of Executor
Generalize VertexId in GraphX so that UUIDs can be used as vertex IDs.,Enable String ID's for GraphX
Spark fills up disk with app-* folders,Standalone Worker cleanup should not clean up running executors
Add Shortest-path computations to graphx.lib,Shortest Path between two vertices; using distance and results carries shortest path and distance
Add histogram() to PySpark,Missing API in PySpark
Add histogram() to PySpark,Make python support for histograms
Allow to provide a custom persistence engine,Deploy failover; Make Persistence engine and LeaderAgent Pluggable.
GraphX triplets not working properly,spark graph.triplets does not return correct values
Type mismatch in Spark shell when using case class defined in shell,REPL $outer type mismatch causes lookup() and equals() problems
Type mismatch in Spark shell when using case class defined in shell,Spark shell has weird scala semantics
Do not materialize partitions whenever possible in BlockManager,Pass "cached" blocks directly to disk if memory is not large enough
Add a OneHotEncoder for handling categorical features,Add OneHotEncoder as a Transformer
DEAD worker should recover automaticly,Workers should reconnect to Master if disconnected
Update Jetty to 9,Upgrade Jetty to 8.1.14v20131031
Master web UI and Worker web UI returns a 404 error,Fix 404 not found error in UI introduced in Jetty 9.0 upgrade
Implicit ALS unnecessarily recomputes factor matrices,Persist factors in implicit ALS
[STREAMING] Annotate developer and experimental API's,cogroup and groupby should pass an iterator
Stage.name return  "apply at Option.scala:120",Stage.name return "apply at Option.scala:120"
Create spark-contrib repo for 1.0,Create spark-contrib repo for 1.0
yarn alpha and stable Client calculateAMMemory routines are different,yarn stable client doesn't properly handle MEMORY_OVERHEAD for AM
Upgrade HBase dependency to 0.98.0,spark-examples should depend on HBase modules for HBase 0.96+
Clean-up and clarify private vs public fields in MLLib,[streaming] Add deployment subsection to streaming
Add UI elements to collapse "Aggregated Metrics by Executor" pane on stage page,Add quick-links to StagePage to jump to Accumulator/Task tables
httpd doesn't start in spark-ec2 (cc2.8xlarge),EC2: Ganglia-httpd broken on hvm based machines like r3.4xlarge
Job fails with spot instances (due to IllegalStateException: Shutdown in progress),java.io.IOException: Filesystem is thrown when ctrl+c or ctrl+d spark-sql on YARN 
sbt assemble-deps no longer works,Spark shell fails to start after "sbt clean assemble-deps package"
spark on yarn-alpha with mvn on master branch won't build,The maven build error for Spark Tools
Application web UI garbage collects newest stages instead old ones,When using spark.ui.retainedStages=n only the first n stages are kept; not the most recent.
IllegalArgumentException when writing to disk,2GB limit in spark for blocks
Web UI should provide page of showing statistics and stage list for a given job,Create jobs overview and job details pages on the web UI
Add streaming support for Spark SQL module,
BlockManager cannot transfer blocks larger than 2G in size,
Local spark-shell Runs Out of Memory With Default Settings,Pass "cached" blocks directly to disk if memory is not large enough
Spark Streaming's received data is not cleaned up from BlockManagers when not needed any more,Old streaming input blocks not removed automatically from the BlockManagers
Add scripts for launching Spark on Google Compute Engine,Add scripts for launching Spark on Google Compute Engine (GCE)
Upgrade Mesos dependency to 0.17.0,Upgrade to Mesos 0.18.1 with Shaded Protobuf
Don't assume context class loader is set when creating classes via reflection,Choose classloader consistently inside of Spark codebase
Add Window function support,Spark SQL can't support lead() over() window function
Update branch-0.9's SBT to 0.13.1 so that it works with Java 8,Build failure on JDK8 :: SBT fails to load build configuration file
Multinomial Logistic Regression Support,Generalize the binary logistic regression into multinomial logistic regression
Improve the way Spark on Yarn waits for executors before starting,Submit stage after executors have been registered
Determine which test suites to run based on code changes,Avoid running MLlib and Streaming tests when testing SQL PRs
Examples of ML algorithms are using deprecated APIs,Update MLLib Examples to Use Breeze
Workers continuously produce failing executors,
Specialized ColumnType for Timestamp,Specialized ColumnType for Timestamp
provide option for more restrictive firewall rule in ec2/spark_ec2.py,Default spark-ec2 security group permissions are too open
spark-submit for yarn prints warnings even though calling as expected ,Spark submit warning tells the user to use spark-submit
Add ADMM for solving Lasso (and elastic net) problem,
Add gradient boosting algorithm to MLlib,Gradient boosting in MLLib
Add conf dir to CLASSPATH in compute-classpath.sh dependent on whether SPARK_CONF_DIR is set,SPARK_CONF_DIR should override all present configs
Add JavaScript into Javadoc to turn ::Experimental:: and such into badges,Java API docs do not show annotation.
Mark main methods experimental,
Executor fails to start when Command.extraJavaOptions contains multiple Java options,Executors fail to come up if "spark.executor.extraJavaOptions" is set 
Support external aggregation in Spark SQL,Enable external sorting in Spark SQL aggregates
Prevent data loss when Streaming driver goes down,Prevent data loss in Spark Streaming on driver failure using Write Ahead Logs
Fixes and improvements for spark-submit/configs,Issues with `spark-submit`
spark-submit --name doesn't work in yarn-client mode,Spark-submit --name does not resolve to application name on YARN
add a config to replace SPARK_YARN_USER_ENV,Clean up use of setExecutorEnvs in SparkConf 
GLMNET implementation in Spark,Add an OWL-QN optimizer for L1 regularized optimizations.
Driver error org.apache.spark.scheduler.TaskSetManager - Loss was due to java.io.FileNotFoundException,Support multiple SparkContexts in the same JVM
Take advantage of AMRMClient APIs to simplify logic in YarnAllocationHandler,after receving allocated containers;amClient should remove ContainerRequest.
Add missing description to spark-env.sh.template,spark-submit does not set driver memory correctly
Add broadcast information on SparkUI storage tab,
Add recursive directory file search to fileInputStream,Support nested directories in Spark Streaming
Add broadcast hash join operator,Broadcast Join (aka map join)
Add broadcast hash join operator,rename Equals to EqualTo in Spark SQL expressions
Audit dependency graph when Spark is built with -Phive,Created forked version of hive-exec that doesn't bundle other dependencies
Error launching cluster when master and slave machines are of different virtualization types,Specifying the master instance type
Support resizable output buffer for kryo serializer,Allow user to set maximum Kryo buffer size
Support cross-building with Scala 2.11,[MLLIB] Univariate kernel density estimation
Add a utility to SparkConf that makes using Kryo really easy,spark.kryo.registrator shall use comma separated value to support multiple registrator
Windows Spark fails to work with Linux YARN,YARN | Spark job submits from windows machine to a linux YARN cluster fail
Executor UI improvement suggestions,Color GC time red when over a percentage of task time
NoSuchMethodError when invoking JavaPairRDD.reduce() in Java,JavaDoubleRDD doesn't contain max()
sc.textFile does not support non UTF-8 encodings,add a parameter for  SparkContext(conf).textFile() method ; support for multi-language  hdfs file ;   e.g. "gbk"
Provide memory-and-local-disk RDD checkpointing,Provide operator to truncate lineage without persisting RDD's
enhance MEMORY_AND_DISK mode by dropping blocks in parallel,
Spark JAR compiled with Java 7 leads to PySpark not working in YARN,Add pyspark archives path to PYTHONPATH
Implicits declared in companion objects not found in Spark shell,
spark on yarn can't start ,
yarn client mode Application Master memory size is same as driver memory size,generalize the type of categoricalFeaturesInfo to PartialFunction[Int; Int]
Make it easier to get Spark on YARN code to compile in IntelliJ,Maven "hadoop*" Profiles Should Set the expected Hadoop Version.
Race condition in accessing cache locations in DAGScheduler,Race condition in DAGScheduler
web ui stage page becomes unresponsive when the number of tasks is large,SparkUI stage page hangs with many tasks
Spark 1.0.0 fails to run in coarse-grained mesos mode,Spark 1.0.0 is failing if mesos.coarse set to true
External hashing in PySpark,External aggregation in Python
spark-ec2 puts Hadoop's log4j ahead of Spark's in classpath,
spark.yarn.dist.* configs are not supported in yarn-cluster mode,spark.yarn.dist.* configs are not documented
Creating a SchemaRDD via sql() does not correctly resolve nested types,Case insensitivity breaks when unresolved relation contains attributes with uppercase letters in their names
web ui should not remove executors if they are dead,Driver UI should enable viewing of dead executors' logs
Stratified sampling implementation in PairRDDFunctions,Stratified sampling
Clean Multi-user semantics for thrift JDBC/ODBC server.,Thrift server doesn't reset current database for each connection
Clean Multi-user semantics for thrift JDBC/ODBC server.,spark.sql.shuffle.partitions is global; not per connection
Clean Multi-user semantics for thrift JDBC/ODBC server.,ThriftServer use only one SessionState to run sql using hive 
groupByKey and joins on raw data,
groupByKey and joins on raw data,In sort-based shuffle; store map outputs in serialized form
Move aggregation into shuffle implementation,Move aggregation into ShuffleManager implementations
Use application specific folders to dump metrics via CsvSink,Metrics can be accidentally aggregated against our intention
the error of comput rightNodeAgg about  Decision tree algorithm  in Spark MLlib ,error of  Decision tree algorithm  in Spark MLlib 
Null values when using App trait.,Closure problems when running Scala app that "extends App"
Public API for DataTypes and Schema,user should be able to provide schema for table creation
Fix remaining Hive Commands,Support "dfs" command
Spark fails on windows YARN (HortonWorks 2.4),Spark AM not launching on Windows
Building and running tests with maven is extremely slow,Parallelize Scala/Java test execution
HAVING should be able to contain aggregate expressions that don't appear in the aggregation list. ,Support HAVING clause generated by Tableau
onStageSubmitted does not properly called so NoSuchElement will be thrown in onStageCompleted,StorageStatusListener should avoid O(blocks) operations
Running sc.parallelize(..).count() hangs pyspark,pyspark - RDD action hangs (after previously succeeding)
Running sc.parallelize(..).count() hangs pyspark,pyspark - RDD action hangs (after previously succeeding)
Support multiple SparkContexts in the same JVM,Multiple SparkContexts can coexist in one process
Data frame (or Pandas) like API for structured data,Adding data frame APIs to SchemaRDD
Feature scaling which standardizes the range of independent variables or features of data.,Add normalizeByCol method to mllib.util.MLUtils
Do not send SPARK_HOME from driver to executors,Separate driver spark home from executor spark home
Do not send SPARK_HOME from driver to executors,Separate driver spark home from executor spark home
Add KMeans MiniBatch clustering algorithm to MLlib,
StorageStatusListener should avoid O(blocks) operations,JobProgressListener gets permanently out of sync with long running job
Design a proper progress reporting & event listener API,enhance spark listener API to gather more spark job information
Utils.getLocalDir had better check the directory and choose a good one instead of choosing the first one directly,Utils.getLocalDir() may return non-existent spark.local.dir directory
DiskBlockManager could add DiskChecker function for kicking off bad directories,
k-Nearest Neighbor classification and regression for MLLib,Approximate k-NN Models for MLLib
Add Artificial Neural Network (ANN) to Spark,In "local[N]"; free cores of the only executor should be touched by "spark.task.cpus" for every finish/start-up of tasks.
In "local[N]"; free cores of the only executor should be touched by "spark.task.cpus" for every finish/start-up of tasks.,
In "local[N]"; free cores of the only executor should be touched by "spark.task.cpus" for every finish/start-up of tasks.,Add Convolutional Neural network to Spark MLlib
In "local[N]"; free cores of the only executor should be touched by "spark.task.cpus" for every finish/start-up of tasks.,Integrate convolutional deep belief networks for visual recognition tasks  
ArrayIndexOutOfBoundsException in scheduler,getAllowedLocalityLevel() throws ArrayIndexOutOfBoundsException
Exception: Could not locate executable null\bin\winutils.exe in the Hadoop ,Cannot save data to parquet files when executing from Windows from a Maven Project
Exception: Could not locate executable null\bin\winutils.exe in the Hadoop ,.save() Procedure fails
Exception: Could not locate executable null\bin\winutils.exe in the Hadoop ,NullPointerException while trying to launch local spark job
CSV import to SchemaRDDs,Implement functionality to read csv files
With auto.offset.reset; KafkaReceiver potentially deletes Consumer nodes from Zookeeper,KafkaReceiver minor changes to align with Kafka 0.8 
globally shared SparkContext / shared Spark "application",Support a shared RDD store among different Spark contexts
Trouble running Spark 1.0 on Yarn ,Modify default YARN memory_overhead-- from an additive constant to a multiplier
Spark should treat writable as serializable for keys,Add a Hadoop Writable serializer
ApplicationState.MAX_NUM_RETRY should be configurable,Make ApplicationState.MAX_NUM_RETRY configurable
Hierarchical Implementation of KMeans,Bisecting k-means clustering
Apriori algorithm for frequent itemset mining,Add FP-growth algorithm to Spark MLlib
MesosExecutorBackend crashes in fine grained mode,Spark on Mesos not correctly setting heap overhead
MesosExecutorBackend crashes in fine grained mode,BlockManagerMasterActor: Got two different block manager registrations with Mesos
Table name is not getting applied to their attributes after "registerAsTable",For a registered table in OverrideCatalog; the Analyzer failed to resolve references in the format of "tableName.fieldName"
Provide link to YARN executor logs on UI,Add executor log url to Executors page on Yarn
Multi-statement input to spark repl does not work,Compound lines in spark-shell cause compilation errors
Creating then stopping StreamingContext multiple times from shell generates duplicate Streaming tabs in UI,Multiple spark streaming tabs on UI when reuse the same sparkcontext
Use long as user / item ID for ALS,JavaRDDLike.groupBy[K](f: JFunction[T; K]) may fail with typechecking errors
Build should not run hive compatibility tests by default.,Hive should not be enabled by default in the build.
Model SerDe in MLlib,Ability to re-create ML models
Add Date datatype support to Spark SQL,Add Date type support
Can't delete local dir on executor automatically when running spark over Mesos.,Should delete temporary local directories
OUTER JOINs cause ClassCastException,scala.collection.mutable.HashSet cannot be cast to scala.collection.mutable.BitSet
Remove special handling of Hadoop JobConf,Remove all unnecessary broadcasts
Add config property to disable incremental collection used in Thrift server,Add config property to disable incremental collection used in Thrift server
Mesos doesn't handle spark.executor.extraJavaOptions correctly (among other things),Mesos doesn't handle spark.executor.extraJavaOptions correctly (among other things)
VPC Issue while creating an ec2 cluster,EC2 cluster creation on VPC
Stacked Auto Encoder (Deep Learning ),
Input data size of CoalescedRDD is incorrect,Input metrics don't work for coalesce()'d RDD's
BasicBlockFetchIterator#next can wait forever,Spark can hang when fetching shuffle blocks
`Spark-submit` overrides user application options,spark-shell doesn't accept flags
`Spark-submit` overrides user application options,spark-submit processes app cmdline options
Add Length support to Spark SQL and HQL and Strlen support to SQL,Add LENGTH and DATALENGTH functions to Spark SQL
Make unidoc part of our test process,Build docs on doc changes
Improve compatibility with parquet file/table,Add a conf to configure if we always read Binary columns stored in Parquet as String columns
Upgrade Tachyon dependency to 0.5.0,Update build script to Tachyon 0.5.0
Upgrade Tachyon dependency to 0.5.0,Update make-distribution.sh to download Tachyon 0.5.0
Upgrade Tachyon dependency to 0.5.0,Update Tachyon dependency to 0.5.0
Upgrade to Akka 2.3,Update akka to version 2.3.4
Add Mima binary checks to Flume-Sink,Add Mima test for Spark Sink after 1.1.0 is released
Mechanism for escaping spark configs is not consistent,spark.*.extraJavaOptions are evaluated too many times
Document standalone-cluster mode now that it's working,Update documentation to clarify whether standalone-cluster mode is now officially supported
TorrentBroadcast cannot broadcast very large objects,
HiveContext does not support dots in column names. ,Special chars in column names is broken
Add location filtering to Twitter streams,Add locations parameter to Twitter Stream
Add location filtering to Twitter streams,streaming-twitter pass twitter4j.FilterQuery argument to TwitterUtils.createStream()
Add location filtering to Twitter streams,Add filter by location boundingbox in TwitterInputDStream.scala
Add location filtering to Twitter streams,Twitter Streaming Geoloaction Filter
add  "show create table" support,SPARK SQL Hive misses "SHOW CREATE TABLE" command
GraphX jobs throw IllegalArgumentException,Can't zip RDDs with unequal numbers of partitions in ReplicatedVertexView.upgrade()
Emulate Hive type coercion in native reimplementations of Hive functions,Improve expression type coercion; casting & checking
Fix conflict between code and doc in YarnClientSchedulerBackend,Yarn client config prioritization is backwards
Support disk spilling in Spark SQL aggregation,Sort-based Aggregation
Support disk spilling in Spark SQL aggregation,spark SQL shuffle OOM
Inconsistent Kryo serialisation with custom Kryo Registrator,Kryo deserialization without using the custom registrator
Spark Support for ORCFile format,support ORC in spark sql
Daemon failed to launch worker,Failed to connect to daemon
org.apache.spark.broadcast.TorrentBroadcast does use the serializer class specified in the spark option "spark.serializer",TorrentBroadcast should use the user specified serializer
Refactor and cleanup Yarn AM code,Don't pass null jar to executor in yarn-client mode
Allow specifying * for --num-executors in YARN,Add option for requesting full YARN cluster
DAGScheduler resubmit the stage into an infinite loop,FetchFailed stages could show up multiple times in failed stages in web ui
DAGScheduler resubmit the stage into an infinite loop,FetchFailed stages could show up multiple times in failed stages in web ui
Spark executables fail to start via symlinks,Allow symlinking to scripts (spark-shell; spark-submit; ...)
Python support for chi-squared test,Python API for Hypothesis testing 
Standalone and Yarn have different settings for adding the user classpath first,Add inferSchema support for RDD[Map[String; Any]]
Standalone and Yarn have different settings for adding the user classpath first,spark.files.userClassPathFirst doesn't work correctly
Standalone and Yarn have different settings for adding the user classpath first,Reconcile spark.files.userClassPathFirst with spark.yarn.user.classpath.first
CLI interface to Driver,Expose JSON representation of data shown in WebUI
Potential bug when running sort-based shuffle with sorting using TimSort,IllegalArgumentException when I using sort-based shuffle
Spark assembly for new hadoop API (hadoop 2) contains avro-mapred for hadoop 1 API,Spark assembly for hadoop2 contains avro-mapred for hadoop1
Support recommendAll in matrix factorization model,Add RankingMetrics to examples.MovieLensALS
Add Robust Regression Algorithm with Tukey bisquare weight  function (Biweight Estimates) ,Add Robust Regression Algorithm with Turkey bisquare weight  function (Biweight Estimates) 
Creation of large graph(> 2.15 B nodes) seems to be broken:possible overflow somewhere ,Integer overflow in VertexRDDImpl.count
Class defined with reference to external variables crashes in REPL.,
Class defined with reference to external variables crashes in REPL.,Using Companion Objects throws ambiguous reference error in REPL when an instance of Class is initialized
ClassNotFoundException in spark-shell with Cassandra,ClassNotFoundException in standalone mode when running groupByKey with class defined in REPL.
When DStream save RDD to hdfs ; don't create directory and empty file if there are no data received from source in the batch duration .,JavaStreamingContext.fileStream run task loop repeated  empty when no more new files found
Fix links in ScalaDoc that cause warning messages in `sbt/sbt unidoc`,Unhelpful error messages generated by JavaDoc while doing sbt unidoc
CREATE VIEW is not supported but the error message is not clear,support view in HiveQL
Provide a API to specify MIN_REMEMBER_DURATION for files to consider as input in streaming,File source dstream can not include the old file which timestamp is before the system time
saveAsParquetFile not working on windows,Cannot save data to parquet files when executing from Windows from a Maven Project
yarn's web show "SUCCEEDED" when the driver throw a exception in yarn-client,spark on yarn reports success even though job fails
yarn website's Tracking UI links to the Standby RM,Link to Spark UI sometimes fails when using H/A RM's
[SQL] bug in CaseWhen resolve,Binding Exception when running PythonUDFs
Paranoid quoting in shell to allow install dirs with spaces within.,./sbt/sbt assembly command fails if path has <space> in the name
Support user-defined SparkListeners properly,Allow spark listeners to be added before spark context gets initialized.
Allow running maven tests in run-tests,Allow running Maven or SBT in run-tests
`sbt/sbt unidoc` doesn't work with Java 8,Unhelpful error messages generated by JavaDoc while doing sbt unidoc
Spark on Yarn remove deprecated configs for 2.0,Remove YARN Client / ClientArguments
Implement 'POWER' for sql,Support math functions in DataFrames
Add matrix operations for large data set,Distributed matrix multiplication
Distributed matrix multiplication,Block Matrix addition and multiplication
Support for accessing secured HDFS in Standalone Mode,
Provide a way to easily change the log level in the Spark shell while running,Support changing Spark's log level programatically
ConcurrentModificationException starting up pyspark,Handle ConcurrentModificationExceptions in SparkEnv.environmentDetails 
Allow symlinking to scripts (spark-shell; spark-submit; ...),Make scripts symlinkable 
Block replication fails continuously when the replication target node is dead,Block always replicated to the same node
yarn-client through socks proxy,
Display cache hit ratio on WebUI,Record cacheable RDD reads and display RDD miss rates
Throw exception for concurrently-running SparkContexts / StreamingContexts in the same JVM,SparkContext constructor should throw exception if another SparkContext is already running
appendReadColumnIDs and appendReadColumnNames introduce unnecessary columns in the lists of needed column ids and column names stored in hiveConf,Spark Hive SQL readColumn is not reset each time for a new query
Allow for pluggable execution contexts in Spark,Support plugging in Spark scheduler 
Shuffle data not always be cleaned,
Add task metric to report spill time,
Gaussian Mixture Model clustering,Add expectation maximization for Gaussian mixture models to MLLib clustering
ConnectionManager threads.max configs on the thread pools don't work,Specify more clearly about the max thread meaning in the ConnectionManager
Don't record the size of each shuffle block for large jobs,Error communicating with MapOutputTracker when run a big spark job
In some cases; the RDD.checkpoint does not work,checkpoint should still be available after rdd actions
spark on yarn reports success even though job fails,yarn-client mode reports success even though job fails
Importing pandas breaks included pi.py example,pyspark.mllib.random conflicts with random module
Allow starting JDBC server on an existing context,
Yarn app name reported in RM is different between cluster and client mode,YARN client and cluster modes have different app name behaviors
RBF Kernel implementation to SVM,
Allow printing object graph of tasks/RDD's with a debug flag,Add utility to help with NotSerializableException debugging
Spark UI: "complete/failed stages" is better to show the total number of stages ,Completed Stages Number are misleading webUI when stages are more than 1000
Support for programmatically submitting Spark jobs,Factor out code to launch Spark applications into a separate library
Spark Streaming fileSystem API is not callable from Java,JavaStreamingContext.fileStream won't work because type info isn't propagated
Do not bind port 1 - 1024 to server in spark,Utils.startServiceOnPort should check whether the tryPort is less than 1024
newAPIHadoopRDD doesn't properly pass credentials for secure hdfs on yarn,when use saveAsNewAPIHadoopFile; sometimes it throws "Delegation Token can be issued only with kerberos or web authentication"
YarnAllocator should look at the container completed diagnostic message,Warn when YARN is killing containers for exceeding memory limits
Support off-loading computations to a GPU,
Yarn dist cache code is not friendly to HDFS HA; Federation,uploading jar when set spark.yarn.jar 
PySpark fails to start in Windows,spark-shell.cmd fails giving error "!=x was unexpected at this time"
Develop an automated way of creating Spark images (AMI; Docker; and others),Bake common tools like ganglia into Spark AMI
Reimplement HashOuterJoin to construct hash table of only one relation,Optimization about reduce memory costs during the HashOuterJoin
[PYSPARK] PySpark's sample methods do not work with NumPy 1.9,Enabling spark.sql.codegen throws ClassNotFound exception
Use consistent config names for duration (with units!),Use consistent naming for time properties
The exit code of spark-submit is still 0 when an yarn application fails,The exit code of spark-submit is still 0 when an yarn application fails
If deploy mode is cluster; --driver-memory shouldn't apply to client JVM,In spark-submit; the driver-memory value is used for the SPARK_SUBMIT_DRIVER_MEMORY value
If deploy mode is cluster; --driver-memory shouldn't apply to client JVM,spark-class should ignore driver-memory when running in YARN cluster mode.
Support Hive Percentile UDAF with array of percentile values,PERCENTILE is not working
NPE caused by SessionState.out not set in thriftserver2,NPE in JDBC server when calling SET
Make the external-* jars fat jars,Mark spark dependency as "provided" in external libraries
Python API for Distributed Matrix,
Remove duplicate removal of local dirs,Occasionally spark.local.dir can be deleted twice and causes test failure
Add FP-growth algorithm to Spark MLlib,add Apriori algorithm to MLLib
Don't show accumulator values in the task table on the stage detail page when there are no accumulators,Hide Accumulators column on stage page when no accumulators exist
NPE in JDBC server when calling SET,Clean up SessionState in HiveContext
KMeans support sparse cluster centers,
Incorrect Java example on site,Java example for Streaming on site uses map instead of mapToPair
New FsPermission instance w/o FsPermission.createImmutable in eventlog,Spark uses incompatible HDFS API
Input metrics don't work for coalesce()'d RDD's,Task input statistics incomplete when a task reads from multiple locations
FAILED_TO_UNCOMPRESS(5) errors when fetching shuffle data with sort-based shuffle,spark shuffle FAILED_TO_UNCOMPRESS
Show dependency changes in pull requests,Enumerate Spark's dependencies in a file and diff against it for new pull requests 
Support "Writing data into the filesystem from queries",Spark2.0 doesn't support the following SQL statement:"insert into directory "/u_qa_user/hive_testdata/test1/t1" select * from d_test_tpc_2g_txt.auction" while Hive supports
PARSING_ERROR(2) when upgrading issues from 1.0.2 to 1.1.0,A FileNotFoundException happened in Hash Shuffle Manager
Dynamic allocation: tone down scary executor lost messages when killing on purpose,Spark prints misleading error messages about losing executors
Document the dynamic allocation feature,Adding documentations about dynamic resource allocation
Add string operation function trim; ltrim; rtrim; length to support SparkSql (HiveQL) ,Improve expression function coverage (Spark 1.5)
[SQL] use beeline execute "create table as"  thriftserver is not use "hive"  user ;but the new hdfs dir's owner is "hive"  ,jetty Server can't tryport+1
[SQL] use beeline execute "create table as"  thriftserver is not use "hive"  user ;but the new hdfs dir's owner is "hive"  ,Utils.isBindCollision misjudges at Non-English environment
EdgePartitionBuilder uses wrong value for first clustered index,A problem of EdgePartitionBuilder in Graphx
Support decimals with precision > 18 in Parquet,Suport storing decimals in Parquet that don't fit in a LONG
Create separate options to control the client-mode AM resource allocation request,
Improve Spark Streaming documentation to address commonly-asked questions ,Allow AWS credentials to be passed to KinesisUtils.createStream()
Shuffle fetches should be retried at a lower level,Perform network-level retry of shuffle file fetches
Shuffle fetches should be retried at a lower level,retry to fetch blocks's result when fetchfailed's reason is connection timeout
Disable doclint in Java 8 to prevent from build error.,Javadoc failure for network-common causes publish-local to fail
stack over flow error while using sqlContext.sql,allCaseVersions function in  SqlLexical  leads to StackOverflow Exception
SparkSQL - Add support for subqueries in predicates,TPC-DS Query 35 fails with the following compile error
SparkSQL - Add support for subqueries in predicates,Support subquery in select/where/having
SparkSQL - Add support for subqueries in predicates,Support exists condition
SparkSQL - Add support for subqueries in predicates,SparkSQL - Support for Not Exists in a Correlated Subquery
Providing ExternalSet to avoid OOM when count(distinct),SQL select count(distinct ) won't work for a normal load
In dynamic allocation; add option to never kill executors with cached blocks,Dynamic allocation: longer timeout for executors with cached blocks
Support External Shuffle Service with Mesos integration,Support external shuffle service in fine-grained mode on mesos cluster
Add Sparse Autoencoder algorithm to MLlib ,
Throw "Expression not in GROUP BY" when using same expression in group by clause and  select clause,Struct fields can't be used as sub-expression of grouping fields
Support numpy/scipy in all Python API of MLlib,Python serialization updates make Python ML API more brittle to types
Correctly log number of iterations in RuleExecutor,RuleExecutor correctly logs trace iteration num
auto detect type from json string,Support inference schema from a single json string
connection ack timeout improvement; replace Timer with ScheudledExecutor...,Memory leak in connection manager timeout thread
Spark driver hangs on sc.parallelize() if exception is thrown during serialization,Prevent serialization errors from ever crashing the DAG scheduler
Put external modules behind build profiles,
